LANGUAGE	LLM	GUIDELINES	EXAMPLES	UD	WORD_ACCURACY	BOUNDARY_PRECISION	BOUNDARY_RECALL	BOUNDARY_F1	PRESENT
results_3/ces	claude	guidelines-dummy	0	0	0.24666666666666667	0	0.0	0	0
results_3/ces	claude	guidelines-dummy	50	0	0.6133333333333333	0.8660287081339713	0.7903930131004366	0.8264840182648402	150
results_3/ces	claude	guidelines-dummy	0	1	0.47333333333333333	0.8888888888888888	0.5589519650655022	0.6863270777479892	150
results_3/ces	claude	guidelines-dummy	50	1	0.6333333333333333	0.9067357512953368	0.7641921397379913	0.8293838862559242	150
results_3/ces	claude	guidelines-no-examples	0	0	0.49333333333333335	0.8862275449101796	0.6462882096069869	0.7474747474747473	150
results_3/ces	claude	guidelines-no-examples	50	0	0.6	0.8787878787878788	0.759825327510917	0.8149882903981266	150
results_3/ces	claude	guidelines-no-examples	0	1	0.5	0.9006622516556292	0.5938864628820961	0.7157894736842106	150
results_3/ces	claude	guidelines-no-examples	50	1	0.5733333333333334	0.9055555555555556	0.7117903930131004	0.7970660146699267	150
results_3/ces	claude	guidelines	0	0	0.6	0.7959183673469388	0.851528384279476	0.8227848101265821	150
results_3/ces	claude	guidelines	50	0	0.6333333333333333	0.8590909090909091	0.8253275109170306	0.8418708240534521	150
results_3/ces	claude	guidelines	0	1	0.6	0.8936170212765957	0.7336244541484717	0.8057553956834532	150
results_3/ces	claude	guidelines	50	1	0.6466666666666666	0.893719806763285	0.8078602620087336	0.8486238532110092	150
results_3/ces	gpt5	guidelines-dummy	0	0	0.5533333333333333	0.7931034482758621	0.8034934497816594	0.7982646420824295	150
results_3/ces	gpt5	guidelines-dummy	50	0	0.5733333333333334	0.820627802690583	0.7991266375545851	0.8097345132743363	150
results_3/ces	gpt5	guidelines-dummy	0	1	0.5533333333333333	0.7622950819672131	0.8122270742358079	0.7864693446088794	150
results_3/ces	gpt5	guidelines-dummy	50	1	0.5066666666666667	0.7061068702290076	0.8078602620087336	0.7535641547861507	150
results_3/ces	gpt5	guidelines-no-examples	0	0	0.5333333333333333	0.7805907172995781	0.8078602620087336	0.7939914163090129	150
results_3/ces	gpt5	guidelines-no-examples	50	0	0.5933333333333334	0.8673469387755102	0.74235807860262	0.8	150
results_3/ces	gpt5	guidelines-no-examples	0	1	0.5266666666666666	0.8757763975155279	0.6157205240174672	0.7230769230769231	150
results_3/ces	gpt5	guidelines-no-examples	50	1	0.5333333333333333	0.7818181818181819	0.7510917030567685	0.7661469933184857	150
results_3/ces	gpt5	guidelines	0	0	0.62	0.8725490196078431	0.777292576419214	0.8221709006928407	150
results_3/ces	gpt5	guidelines	50	0	0.5933333333333334	0.8457943925233645	0.7903930131004366	0.8171557562076749	150
results_3/ces	gpt5	guidelines	0	1	0.5866666666666667	0.865	0.7554585152838428	0.8065268065268065	150
results_3/ces	gpt5	guidelines	50	1	0.5933333333333334	0.8135593220338984	0.8384279475982532	0.8258064516129032	150
results_3/ces	llama	guidelines-dummy	0	0	0.24	0.6153846153846154	0.034934497816593885	0.06611570247933884	150
results_3/ces	llama	guidelines-dummy	50	0	0.30666666666666664	0.8636363636363636	0.16593886462882096	0.2783882783882784	150
results_3/ces	llama	guidelines-dummy	0	1	0.32666666666666666	0.7534246575342466	0.24017467248908297	0.36423841059602646	150
